team,year,Firstname,Surname,PAV_total
11,2020, Clayton,Oliver,23.98
11,2020, Christian,Petracca,23.79
11,2020, Kysaiah,Pickett,6.83
11,2020, Braydon,Preuss,2.39
11,2020, Trent,Rivers,5.97
11,2020, Christian,Salem,13.1
11,2020, Joel,Smith,3.44
11,2020, Charlie,Spargo,4.21
11,2020, Tom,Sparrow,2.83
11,2020, Adam,Tomlinson,7.74
11,2020, Aaron,Vandenberg,8.82
11,2020, Jack,Viney,22.11
11,2020, Josh,Wagner,0.75
11,2020, Sam,Weideman,9.55
12,2020, Paul,Ahern,2.37
12,2020, Jed,Anderson,16.83
12,2020, Shaun,Atley,10.2
12,2020, Aiden,Bonar,1.98
12,2020, Ben,Brown,5.43
12,2020, Tom,Campbell,0.68
12,2020, Ben,Cunnington,2.64
12,2020, Luke,Davies-Uniacke,7.3
12,2020, Majak,Daw,2.76
12,2020, Trent,Dumont,16.36
12,2020, Sam,Durdin,0.91
12,2020, Taylor,Garner,0.6
12,2020, Todd,Goldstein,24.35
12,2020, Aaron,Hall,12.55
12,2020, Kyron,Hayden,2.46
12,2020, Shaun,Higgins,14.06
12,2020, Lachlan,Hosie,1.92
12,2020, Nick,Larkey,6.94
12,2020, Jamie,Macmillan,6.85
12,2020, Jack,Mahony,2.98
12,2020, Luke,McDonald,14.2
12,2020, Ben,McKay,6.44
12,2020, Tom,Murphy,2.36
12,2020, Flynn,Perez,1
12,2020, Jasper,Pittard,9.62
12,2020, Jared,Polec,11.62
12,2020, Bailey,Scott,6.86
12,2020, Jy,Simpkin,15.23
12,2020, Robbie,Tarrant,15.29
12,2020, Curtis,Taylor,4.79
12,2020, Tarryn,Thomas,2.64
12,2020, Ed,Vickers-Willis,3.18
12,2020, Josh,Walker,8.05
12,2020, Will,Walker,0.91
12,2020, Marley,Williams,4.61
12,2020, Mason,Wood,3.47
12,2020, Tristan,Xerri,2.7
12,2020, Jack,Ziebell,3.13
12,2020, Cameron,Zurhaar,11.39
13,2020, Karl,Amon,14.67
13,2020, Travis,Boak,22.8
13,2020, Riley,Bonner,5.31
13,2020, Ryan,Burton,4.21
13,2020, Zak,Butters,11.89
13,2020, Darcy,Byrne-Jones,14.74
13,2020, Tom,Clurey,11.62
13,2020, Charlie,Dixon,15.6
13,2020, Xavier,Duursma,10.13
13,2020, Brad,Ebert,12.61
13,2020, Kane,Farrell,5.89
13,2020, Mitch,Georgiades,4.52
13,2020, Robbie,Gray,15.02
13,2020, Hamish,Hartlett,13.6
13,2020, Dan,Houston,15.67
13,2020, Tom,Jonas,15.76
13,2020, Peter,Ladhams,7.72
13,2020, Jarrod,Lienert,3.98
13,2020, Scott,Lycett,17.41
13,2020, Todd,Marshall,9.49
13,2020, Sam,Mayes,4.45
13,2020, Trent,McKenzie,12.19
13,2020, Steven,Motlop,9
13,2020, Sam,Powell-Pepper,15.23
13,2020, Tom,Rockliff,15.24
13,2020, Connor,Rozee,11.36
13,2020, Cam,Sutcliffe,1.12
13,2020, Justin,Westhoff,9.11
13,2020, Ollie,Wines,19.78
13,2020, Boyd,Woodcock,2.16
14,2020, Jake,Aarts,6.99
14,2020, David,Astbury,5.52
14,2020, Liam,Baker,12.12
14,2020, Noah,Balta,11.68
14,2020, Shai,Bolton,20.02
14,2020, Nathan,Broad,9.07
14,2020, Josh,Caddy,4.17
14,2020, Jason,Castagna,11.81
14,2020, Mabior,Chol,6.49
14,2020, Trent,Cotchin,18.09
14,2020, Thomson,Dow,0.44
14,2020, Shane,Edwards,10.1
14,2020, Derek,Eggmolesse-Smith,2.45
14,2020, Jack,Graham,10.45
14,2020, Dylan,Grimes,10.21
14,2020, Jack,Higgins,6.95
14,2020, Bachar,Houli,9.35
14,2020, Kane,Lambert,13.95
14,2020, Tom,Lynch,13.06
14,2020, Oleg,Markov,3.04
14,2020, Dustin,Martin,24.54
14,2020, Kamdyn,McIntosh,13.38
14,2020, Patrick,Naish,0.35
14,2020, Toby,Nankervis,9.78
14,2020, Marlion,Pickett,11.78
14,2020, Dion,Prestia,8.26
14,2020, Jack,Riewoldt,15.16
14,2020, Daniel,Rioli,9.38
14,2020, Jack,Ross,4.15
14,2020, Jayden,Short,18.07
14,2020, Ivan,Soldo,10.12
14,2020, Sydney,Stack,2.79
14,2020, Nick,Vlastuin,13.36
15,2020, Ryan,Abbott,0.41
15,2020, Josh,Battle,10.06
15,2020, Jack,Billings,16.75
15,2020, Dan,Butler,17.08
15,2020, Ryan,Byrnes,0.13
15,2020, Jack,Bytel,1.31
15,2020, Jake,Carlisle,7.64
15,2020, Hunter,Clark,11.14
15,2020, Nick,Coffield,9.78
15,2020, Luke,Dunstan,1.07
15,2020, Jarryn,Geary,8.06
15,2020, Jade,Gresham,11.4
15,2020, Dan,Hannebery,5.72
15,2020, Bradley,Hill,11.15
15,2020, Nick,Hind,6.59
15,2020, Dougal,Howard,15.59
15,2020, Zak,Jones,15.01
15,2020, Dean,Kent,9.47
15,2020, Max,King,11.43
15,2020, Ben,Long,7.37
15,2020, Jack,Lonie,8.67
15,2020, Jonathon,Marsh,3.6
15,2020, Rowan,Marshall,21.88
15,2020, Tim,Membrey,13.05
15,2020, Matthew,Parker,0.8
15,2020, Ben,Paton,8.9
15,2020, Ed,Phillips,2.78
