"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"English, Tim","WB","16","5.88","2.94","7.43","16.24","0.943","-0.029","1.456","0.790"
"Erasmus, Neil","FR","5","0.49","0.13","0.85","1.47","-0.459","-0.855","-0.063","-0.459"
"Evans, Francis","GE","5","0.33","0.28","0.34","0.95","-0.620","-0.683","-0.606","-0.636"
"Fantasia, Orazio","PA","1","0.00","0.00","0.00","0.00","-1.000","-1.000","-1.000","-1.000"
"Farrar, Jy","GC","14","0.50","4.44","1.14","6.08","-0.820","0.605","-0.588","-0.268"
"Farrell, Kane","PA","16","3.79","3.91","3.32","11.02","0.199","0.237","0.049","0.162"
"Finlayson, Jeremy","PA","20","7.53","3.01","6.59","17.14","0.905","-0.237","0.668","0.445"
"Fiorini, Brayden","GC","14","1.87","2.19","3.52","7.59","-0.323","-0.207","0.273","-0.085"
"Fisher, Zac","CA","22","5.32","2.12","4.44","11.88","0.224","-0.512","0.021","-0.089"
"Flanders, Sam","GC","9","0.95","0.91","0.95","2.82","-0.467","-0.487","-0.464","-0.472"
"Florenca, Jake","WC","1","0.03","0.26","0.21","0.51","-0.834","0.331","0.075","-0.143"
"Florent, Oliver","SY","25","3.17","5.26","4.23","12.66","-0.270","0.209","-0.028","-0.030"
"Flynn, Matt","GW","12","3.32","1.24","3.61","8.16","0.398","-0.477","0.520","0.147"
"Fogarty, Darcy","AD","17","7.88","1.22","1.88","10.99","1.345","-0.636","-0.439","0.090"
"Fogarty, Lachie","CA","3","0.37","0.17","0.24","0.78","-0.380","-0.709","-0.591","-0.560"
"Foley, Luke","WC","16","1.15","3.05","1.25","5.45","-0.636","-0.036","-0.604","-0.425"
"Ford, Eddie","NM","3","0.21","0.05","0.07","0.32","-0.652","-0.920","-0.885","-0.819"
"Fort, Darcy","BL","18","3.96","2.05","4.83","10.85","0.265","-0.344","0.543","0.155"
"Fox, Robbie","SY","14","0.48","4.22","0.89","5.58","-0.804","0.732","-0.635","-0.236"
"Frampton, Billy","AD","6","0.50","3.76","0.26","4.52","-0.580","2.169","-0.780","0.270"
"Francis, Aaron","ES","4","1.18","0.35","0.36","1.88","0.489","-0.562","-0.548","-0.207"
"Franklin, Lance","SY","23","11.20","0.74","2.56","14.50","1.800","-0.815","-0.360","0.208"
"Frederick, Martin","PA","6","0.30","0.29","0.18","0.77","-0.744","-0.756","-0.852","-0.784"
"Frederick, Michael","FR","22","6.79","0.86","2.79","10.44","0.703","-0.784","-0.300","-0.127"
"Fritsch, Bayley","ME","24","10.88","1.09","2.30","14.28","1.503","-0.749","-0.471","0.095"
"Frost, Sam","HW","12","0.27","4.44","0.61","5.32","-0.886","0.872","-0.743","-0.252"
"Fullarton, Tom","BL","5","0.78","0.60","0.40","1.78","-0.106","-0.311","-0.537","-0.318"
"Fyfe, Nat","FR","7","1.61","0.21","1.35","3.18","0.269","-0.830","0.068","-0.164"
"Gaff, Andrew","WC","16","1.78","2.29","3.12","7.19","-0.438","-0.274","-0.014","-0.242"
"Garcia, Riley","WB","7","0.90","0.11","0.79","1.80","-0.319","-0.918","-0.399","-0.545"
"Gardiner, Darcy","BL","21","0.28","6.27","1.10","7.65","-0.923","0.718","-0.699","-0.301"
"Gardner, Ryan","WB","22","-0.07","10.83","0.49","11.25","-1.016","1.604","-0.881","-0.098"
"Gawn, Max","ME","22","7.83","3.40","11.17","22.41","0.965","-0.146","1.804","0.874"
"Georgiades, Mitch","PA","19","5.82","0.85","1.54","8.21","0.549","-0.773","-0.590","-0.271"
"Gibcus, Josh","RI","18","1.02","6.92","0.74","8.68","-0.700","1.034","-0.783","-0.150"
"Ginnivan, Jack","CW","23","7.87","0.90","2.40","11.17","0.967","-0.775","-0.400","-0.069"
"Giro, Stefan","WC","1","0.16","0.02","0.10","0.28","-0.168","-0.890","-0.505","-0.521"
"Goater, Josh","NM","1","0.06","0.25","0.02","0.33","-0.702","0.279","-0.901","-0.441"
"Goldstein, Todd","NM","22","9.34","3.45","5.86","18.65","1.148","-0.206","0.348","0.430"
"Gollant, Lachlan","AD","7","1.91","0.41","0.31","2.63","0.383","-0.707","-0.773","-0.366"
"Graham, Caleb","GC","15","0.63","8.24","0.92","9.79","-0.788","1.779","-0.689","0.101"
"Graham, Jack","RI","20","4.04","1.68","6.28","12.00","0.068","-0.557","0.662","0.058"
"Grainger-Barras, Denver","HW","16","-0.14","4.98","0.48","5.33","-1.044","0.576","-0.848","-0.439"
"Gray, Robbie","PA","16","4.45","0.78","2.42","7.65","0.407","-0.752","-0.235","-0.193"
"Green, Tom","GW","21","4.63","3.20","8.10","15.93","0.116","-0.230","0.951","0.279"
"Greene, Toby","GW","15","9.61","0.42","2.67","12.70","2.242","-0.859","-0.099","0.428"
"Greenwood, Hugh","NM","21","2.45","2.02","5.09","9.56","-0.410","-0.513","0.226","-0.232"
"Gresham, Jade","SK","18","6.21","1.11","7.41","14.72","0.745","-0.689","1.083","0.380"
"Grimes, Dylan","RI","15","0.10","5.39","0.40","5.89","-0.966","0.900","-0.857","-0.308"
"Grundy, Brodie","CW","6","2.06","0.68","3.13","5.88","0.979","-0.347","2.004","0.879"
"Guelfi, Matt","ES","20","5.27","1.46","3.01","9.74","0.333","-0.631","-0.239","-0.179"
"Gulden, Errol","SY","25","6.58","3.11","6.78","16.47","0.512","-0.284","0.560","0.263"
"Gunston, Jack","HW","16","8.97","0.83","1.29","11.09","1.836","-0.737","-0.591","0.169"
"Guthrie, Cameron","GE","25","3.96","3.22","10.03","17.22","-0.089","-0.259","1.308","0.320"
"Guthrie, Zach","GE","21","2.29","6.54","2.58","11.41","-0.373","0.791","-0.293","0.042"
"Hall, Aaron","NM","11","1.80","4.61","1.45","7.86","-0.173","1.119","-0.332","0.205"
"Ham, Brayden","ES","11","0.56","0.64","0.77","1.97","-0.741","-0.704","-0.647","-0.697"
"Hamill, Will","AD","13","0.58","2.16","0.76","3.50","-0.776","-0.161","-0.703","-0.546"
"Hamilton, Cooper","GW","4","0.05","0.74","0.21","1.00","-0.932","-0.065","-0.732","-0.576"
"Hamling, Joel","FR","1","0.00","0.36","0.03","0.39","-1.000","0.965","-0.813","-0.283"
"Hannan, Mitch","WB","7","1.15","1.15","0.63","2.92","-0.131","-0.134","-0.525","-0.264"
"Hannebery, Dan","SK","3","0.68","0.14","1.42","2.24","0.143","-0.757","1.398","0.261"
"Hardwick, Blake","HW","22","0.75","8.47","1.43","10.64","-0.828","0.948","-0.672","-0.184"
"Harmes, James","ME","21","3.93","2.80","5.16","11.89","0.032","-0.263","0.356","0.042"
"Hartigan, Kyle","HW","3","0.00","0.55","0.08","0.64","-1.000","-0.066","-0.858","-0.641"
"Hately, Jackson","AD","11","1.44","1.65","2.41","5.50","-0.337","-0.242","0.109","-0.156"
"Hawkins, Tom","GE","25","13.96","0.91","3.72","18.59","2.210","-0.790","-0.145","0.425"
