"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Stephens, Cooper","GE","7","0.59","0.79","2.06","3.45","-0.688","-0.585","0.085","-0.396"
"Madgen, Jack","CW","9","0.43","2.54","0.47","3.43","-0.823","0.038","-0.810","-0.532"
"Sloane, Rory","AD","4","0.40","1.27","1.76","3.43","-0.632","0.169","0.621","0.053"
"Petrevski-Seton, Sam","WC","10","0.97","1.21","1.14","3.32","-0.644","-0.555","-0.580","-0.593"
"Lambert, Kane","RI","7","1.08","0.57","1.66","3.30","-0.435","-0.701","-0.130","-0.422"
"Hamill, Will","AD","9","0.73","1.70","0.79","3.22","-0.703","-0.303","-0.677","-0.561"
"Duursma, Xavier","PA","7","1.08","1.02","1.04","3.14","-0.432","-0.465","-0.454","-0.450"
"Davis, Phil","GW","5","0.18","2.71","0.23","3.12","-0.866","0.995","-0.829","-0.233"
"Bowes, Jack","GC","4","0.22","1.87","1.02","3.11","-0.794","0.717","-0.058","-0.045"
"Smith, Joel","ME","5","0.00","2.69","0.37","3.06","-1.000","0.978","-0.724","-0.249"
"Rohan, Gary","GE","4","1.56","0.63","0.86","3.05","0.437","-0.423","-0.213","-0.066"
"Brown, Tyler","CW","11","0.58","0.90","1.54","3.02","-0.805","-0.699","-0.483","-0.663"
"Boyd, Jordan","CA","7","0.37","1.84","0.81","3.01","-0.808","-0.035","-0.576","-0.473"
"Carroll, Jack","CA","5","1.19","0.30","1.50","3.00","-0.121","-0.779","0.104","-0.265"
"Brander, Jarrod","GW","5","1.74","0.41","0.82","2.98","0.284","-0.698","-0.393","-0.269"
"Hibberd, Michael","ME","4","0.13","2.45","0.40","2.97","-0.881","1.251","-0.633","-0.088"
"Cook, Brayden","AD","7","1.27","0.69","0.94","2.90","-0.331","-0.637","-0.507","-0.491"
"Callaghan, Finn","GW","5","1.02","0.99","0.78","2.79","-0.251","-0.271","-0.424","-0.316"
"Stein, Jake","GW","6","0.15","2.52","0.12","2.78","-0.911","0.545","-0.928","-0.431"
"McKenzie, Trent","PA","5","-0.10","2.78","0.11","2.78","-1.077","1.047","-0.921","-0.317"
"Dunstan, Luke","ME","4","0.58","0.40","1.80","2.77","-0.467","-0.636","0.653","-0.150"
"Motlop, Jesse","CA","6","1.79","0.06","0.89","2.74","0.099","-0.964","-0.455","-0.440"
"Sharman, Cooper","SK","5","1.32","0.63","0.76","2.71","-0.028","-0.538","-0.442","-0.336"
"Yeo, Elliot","WC","5","0.00","2.39","0.32","2.71","-1.000","0.761","-0.765","-0.335"
"Sharp, Jeremy","GC","8","1.15","0.42","1.12","2.70","-0.469","-0.806","-0.483","-0.586"
"Fox, Robbie","SY","5","0.45","1.55","0.67","2.67","-0.667","0.140","-0.509","-0.345"
"Miller, Ben","RI","4","-0.07","2.54","0.19","2.67","-1.064","1.341","-0.824","-0.182"
"Butler, Sam","HW","7","1.77","0.16","0.72","2.66","-0.069","-0.914","-0.620","-0.534"
"Coleman-Jones, Callum","NM","5","1.41","0.51","0.74","2.66","0.038","-0.622","-0.455","-0.346"
"Ham, Brayden","ES","9","0.77","0.88","1.00","2.65","-0.687","-0.640","-0.589","-0.639"
"Bergman, Miles","PA","4","0.94","0.78","0.92","2.64","-0.134","-0.283","-0.157","-0.191"
"Bell, James","SY","6","1.53","0.52","0.57","2.63","-0.060","-0.679","-0.649","-0.463"
"Langdon, Zac","WC","5","1.75","0.18","0.66","2.59","0.289","-0.871","-0.514","-0.365"
"Francis, Aaron","ES","4","1.60","0.47","0.49","2.56","0.474","-0.565","-0.551","-0.214"
"Crozier, Hayden","WB","5","0.32","1.64","0.52","2.49","-0.762","0.208","-0.615","-0.390"
"Reid, Zach","ES","6","0.03","2.22","0.18","2.43","-0.979","0.363","-0.892","-0.502"
"Khamis, Buku","WB","5","1.74","0.25","0.44","2.43","0.280","-0.818","-0.676","-0.405"
"Bryan, Nick","ES","4","0.95","0.53","0.95","2.42","-0.127","-0.516","-0.127","-0.256"
"Winder, Isiah","WC","6","1.48","0.38","0.55","2.40","-0.095","-0.765","-0.665","-0.508"
"Johannisen, Jason","WB","4","1.23","0.34","0.79","2.36","0.131","-0.683","-0.273","-0.275"
"ONeill, Xavier","WC","5","0.83","0.48","1.02","2.33","-0.389","-0.646","-0.252","-0.429"
"Langford, Kyle","ES","4","1.71","0.00","0.59","2.29","0.570","-1.004","-0.459","-0.297"
"Robertson, Deven","BL","5","1.00","0.47","0.80","2.27","-0.262","-0.656","-0.414","-0.444"
"Smith, Roarke","WB","7","0.68","0.74","0.83","2.25","-0.643","-0.609","-0.563","-0.605"
"Erasmus, Neil","FR","5","0.76","0.19","1.29","2.25","-0.442","-0.857","-0.049","-0.449"
"Treacy, Josh","FR","4","0.97","0.67","0.62","2.25","-0.111","-0.385","-0.432","-0.310"
"Byrnes, Ryan","SK","8","0.57","0.75","0.89","2.21","-0.738","-0.654","-0.591","-0.661"
"Flanders, Sam","GC","5","0.71","0.90","0.61","2.21","-0.481","-0.339","-0.551","-0.457"
"McInnes, Reef","CW","6","1.46","0.11","0.62","2.20","-0.103","-0.931","-0.619","-0.551"
"Hannan, Mitch","WB","4","1.07","0.81","0.31","2.19","-0.018","-0.253","-0.712","-0.328"
"Aarts, Jake","RI","6","0.83","0.36","0.96","2.15","-0.489","-0.779","-0.412","-0.560"
"Wallis, Mitch","WB","5","1.39","0.18","0.53","2.11","0.024","-0.867","-0.607","-0.483"
"Kreuger, Nathan","CW","3","1.33","0.36","0.42","2.11","0.631","-0.553","-0.490","-0.137"
"Amartey, Joel","SY","3","0.90","0.19","1.00","2.09","0.100","-0.765","0.228","-0.146"
"Brown, Callum","GW","3","1.20","0.43","0.44","2.07","0.471","-0.471","-0.458","-0.153"
"Sproule, Zach","GW","5","1.09","0.07","0.81","1.97","-0.198","-0.948","-0.403","-0.516"
"Fullarton, Tom","BL","3","1.11","0.50","0.34","1.95","0.357","-0.386","-0.582","-0.204"
"Bosenavulagi, Atu","NM","9","0.20","1.16","0.57","1.93","-0.916","-0.526","-0.768","-0.737"
"Lloyd, Daniel","GW","5","1.27","0.17","0.48","1.92","-0.064","-0.874","-0.648","-0.529"
"Martin, Stefan","WB","3","0.55","-0.01","1.35","1.90","-0.325","-1.010","0.662","-0.225"
"Parnell, Patrick","AD","5","0.47","0.86","0.54","1.87","-0.652","-0.365","-0.605","-0.541"
"Day, Sam","GC","2","1.16","0.23","0.48","1.87","1.138","-0.580","-0.126","0.144"
"Cox, Nik","ES","5","0.87","0.41","0.58","1.86","-0.359","-0.700","-0.570","-0.543"
"Blanck, James","HW","3","0.04","1.68","0.13","1.85","-0.951","1.055","-0.837","-0.244"
"McGovern, Mitch","CA","2","0.30","1.33","0.18","1.81","-0.450","1.447","-0.661","0.112"
"Baldwin, Kaine","ES","4","0.95","0.26","0.59","1.80","-0.127","-0.762","-0.454","-0.447"
